,index,like_id,count,m_g,v_g,m_age,v_age,m_ope,v_ope,m_con,v_con,m_ext,v_ext,m_agr,v_agr,m_neu,v_neu
0,68267,78239021317,21,0.857142857143,0.128571428571,28.3333333333,37.4333333333,4.05761904762,0.380139047619,3.39666666667,0.505213333333,3.58,0.64571,3.63047619048,0.566874761905,2.93952380952,0.619594761905
1,224553,324417909763,21,1.0,0.0,21.0952380952,10.1904761905,4.0080952381,0.389376190476,3.04047619048,0.239154761905,3.63714285714,0.616101428571,3.44619047619,0.313254761905,2.96523809524,0.513176190476
2,5163,8419133006,21,0.619047619048,0.247619047619,25.1904761905,55.4619047619,3.9180952381,0.519126190476,3.37142857143,0.601332857143,3.39952380952,0.840104761905,3.5119047619,0.495226190476,2.95904761905,0.659219047619
3,224824,324811734139,21,0.714285714286,0.214285714286,20.1904761905,14.6619047619,3.79571428571,0.571535714286,2.9219047619,0.541466190476,3.52952380952,0.349384761905,3.33285714286,0.615101428571,2.8780952381,0.913466190476
4,380921,113758865306738,21,0.428571428571,0.257142857143,27.4285714286,48.1571428571,3.96238095238,0.174469047619,3.69857142857,0.765692857143,3.76380952381,0.351004761905,3.59333333333,0.342883333333,2.4519047619,0.430586190476
5,144836,206487284918,21,0.809523809524,0.161904761905,20.5238095238,16.9619047619,3.79761904762,0.405869047619,3.18095238095,0.517369047619,3.38380952381,0.731854761905,3.66666666667,0.398333333333,3.13476190476,0.843626190476
6,96005,117468242391,21,0.333333333333,0.233333333333,22.7619047619,5.99047619048,3.95761904762,0.293989047619,3.08666666667,0.351433333333,2.94238095238,0.652569047619,3.50238095238,0.401119047619,2.77142857143,0.528652857143
7,144807,206444343638,21,0.904761904762,0.0904761904762,21.9047619048,43.7904761905,3.69523809524,0.568976190476,3.00095238095,0.631209047619,3.48428571429,0.320285714286,3.27,0.62885,3.09,0.93292
8,225977,326579036532,21,0.619047619048,0.247619047619,20.5714285714,4.35714285714,3.97380952381,0.385904761905,3.06428571429,0.322535714286,3.60761904762,0.531839047619,3.57238095238,0.167509047619,3.01380952381,0.643054761905
9,226374,327231057968,21,0.904761904762,0.0904761904762,19.619047619,3.74761904762,3.80095238095,0.621219047619,3.44904761905,0.302969047619,3.75476190476,0.373976190476,3.61571428571,0.536135714286,2.81047619048,0.806854761905
10,226376,327232423508,21,0.619047619048,0.247619047619,19.0,8.4,3.78904761905,0.319149047619,2.93952380952,0.319854761905,3.72714285714,0.576411428571,3.56,0.2325,3.04761904762,0.491659047619
11,77537,91619233279,21,0.857142857143,0.128571428571,21.4761904762,48.9619047619,4.30666666667,0.154983333333,3.18142857143,0.476042857143,3.49285714286,0.717071428571,3.73428571429,0.532285714286,3.02142857143,0.921892857143
12,227431,328918913887,21,0.714285714286,0.214285714286,22.2380952381,151.89047619,3.58047619048,0.411004761905,3.36428571429,0.334275714286,3.49142857143,0.692892857143,3.80285714286,0.515371428571,2.99761904762,0.561619047619
13,122682,173372249122,21,0.333333333333,0.233333333333,20.5238095238,8.0619047619,3.80380952381,0.403554761905,3.18142857143,0.581142857143,3.12047619048,0.654314761905,3.24761904762,0.473409047619,3.09523809524,0.767726190476
14,33929,36036114767,21,0.714285714286,0.214285714286,22.5238095238,26.1619047619,3.85523809524,0.259826190476,3.38095238095,0.439869047619,3.62095238095,0.707219047619,3.64238095238,0.353219047619,2.95333333333,0.797433333333
15,379284,113536635323739,21,0.52380952381,0.261904761905,24.8571428571,7.02857142857,4.34857142857,0.277242857143,3.43285714286,0.605331428571,3.63380952381,0.716874761905,3.56285714286,0.278171428571,2.71619047619,0.496154761905
16,228876,331339375568,21,0.714285714286,0.214285714286,19.7142857143,3.81428571429,3.72761904762,0.337669047619,3.35142857143,0.508642857143,3.75047619048,0.296474761905,3.79380952381,0.308284761905,2.56142857143,0.603952857143
17,375594,113096128704659,21,0.619047619048,0.247619047619,24.380952381,9.24761904762,4.14095238095,0.243379047619,3.45,0.36332,3.50095238095,0.757229047619,3.79952380952,0.397464761905,2.4480952381,0.490466190476
18,223897,323467368576,21,1.0,0.0,35.0952380952,69.2904761905,4.13666666667,0.276433333333,3.64047619048,0.433154761905,3.42380952381,0.729654761905,3.65,0.35825,3.00714285714,0.475571428571
19,223885,323443944680,21,0.761904761905,0.190476190476,25.3333333333,90.6333333333,3.86047619048,0.325754761905,3.34857142857,0.430742857143,3.30523809524,0.607416190476,3.49285714286,0.532111428571,3.18666666667,0.677483333333
20,222872,321960674348,21,0.809523809524,0.161904761905,20.4285714286,9.85714285714,3.91523809524,0.212026190476,3.27952380952,0.343694761905,3.5419047619,0.367276190476,3.52047619048,0.457444761905,2.8119047619,0.499976190476
21,5051,8358503595,21,0.238095238095,0.190476190476,28.9523809524,157.247619048,4.02476190476,0.207016190476,3.26523809524,0.483326190476,3.16238095238,0.799959047619,3.56666666667,0.327023333333,2.93333333333,0.848023333333
22,4628,8147643617,21,0.857142857143,0.128571428571,26.1904761905,388.661904762,3.77428571429,0.481205714286,3.10523809524,0.396786190476,3.62857142857,0.510082857143,3.60952380952,0.324694761905,3.1180952381,0.408426190476
23,4656,8163626821,21,0.333333333333,0.233333333333,24.4761904762,33.0619047619,4.1119047619,0.224726190476,3.36523809524,0.483476190476,3.21714285714,0.844141428571,3.16904761905,0.504619047619,3.17142857143,0.620142857143
24,218412,315384192904,21,1.0,0.0,19.9047619048,7.09047619048,3.85142857143,0.572882857143,3.3080952381,0.493426190476,3.70142857143,0.449442857143,3.17238095238,0.325159047619,3.12095238095,0.543629047619
25,388871,114932485184688,21,0.619047619048,0.247619047619,29.0476190476,97.6476190476,4.24476190476,0.224046190476,3.2980952381,0.416726190476,3.46714285714,0.807071428571,3.4980952381,0.342136190476,2.78428571429,0.479575714286
26,145763,207939383954,21,0.666666666667,0.233333333333,19.0952380952,4.59047619048,3.79619047619,0.407704761905,2.78238095238,0.417369047619,3.30476190476,0.784476190476,3.13571428571,0.399785714286,3.38380952381,0.523304761905
27,145534,207588676218,21,0.857142857143,0.128571428571,19.2380952381,3.89047619048,3.64761904762,0.515869047619,3.30333333333,0.630833333333,3.40428571429,0.792635714286,3.55761904762,0.364719047619,2.76857142857,0.459642857143
28,96407,118155329419,21,1.0,0.0,42.1428571429,46.1285714286,3.73904761905,0.887119047619,3.68619047619,0.687054761905,3.67761904762,0.829759047619,3.44333333333,0.446083333333,3.04523809524,0.451306190476
29,38015,40367028152,21,0.571428571429,0.257142857143,23.9523809524,92.4476190476,3.76,0.4944,3.12857142857,0.531142857143,3.47857142857,0.702582857143,3.4319047619,0.443816190476,2.80285714286,0.481221428571
30,229857,332833934289,21,0.904761904762,0.0904761904762,28.0476190476,52.1476190476,4.01666666667,0.305333333333,3.30952380952,0.407154761905,3.43571428571,0.568925714286,3.54428571429,0.457635714286,2.86904761905,0.570119047619
31,219844,317477316668,21,0.809523809524,0.161904761905,19.5714285714,8.55714285714,3.63285714286,0.461231428571,3.1619047619,0.250666190476,3.65476190476,0.280666190476,3.51333333333,0.391933333333,2.85238095238,0.924119047619
32,221200,319456536290,21,0.666666666667,0.233333333333,19.5238095238,6.4619047619,3.81904761905,0.352869047619,3.2380952381,0.545976190476,3.59952380952,0.735304761905,3.73095238095,0.240369047619,3.0019047619,0.707186190476
33,37455,39784478212,21,0.857142857143,0.128571428571,23.2380952381,61.8904761905,3.88428571429,0.198135714286,3.41523809524,0.375326190476,3.42952380952,0.652424761905,3.53619047619,0.329604761905,3.06666666667,0.710833333333
34,4958,8314408429,21,0.904761904762,0.0904761904762,23.8095238095,82.4619047619,3.84238095238,0.369429047619,3.30523809524,0.362696190476,3.4819047619,0.373516190476,3.55095238095,0.555219047619,2.80523809524,0.491846190476
35,76830,90708177243,21,0.857142857143,0.128571428571,21.1428571429,15.2285714286,3.88904761905,0.287269047619,3.47619047619,0.306654761905,3.50142857143,0.564692857143,3.57238095238,0.426069047619,2.65238095238,0.722119047619
36,37037,39348499571,21,0.47619047619,0.261904761905,23.2380952381,61.5904761905,4.02714285714,0.526171428571,3.55333333333,0.351083333333,3.66904761905,0.341869047619,3.58333333333,0.197973333333,2.65952380952,0.605404761905
37,145312,207251779638,21,0.761904761905,0.190476190476,23.5714285714,11.3571428571,4.13761904762,0.253219047619,3.61666666667,0.504333333333,3.65333333333,0.287263333333,3.58142857143,0.541992857143,2.71666666667,0.642223333333
38,222113,320842749394,21,0.809523809524,0.161904761905,21.1904761905,66.4619047619,3.83619047619,0.547614761905,3.08904761905,0.370619047619,3.5119047619,0.578226190476,3.52,0.69145,3.14619047619,0.774184761905
39,222552,321479883880,21,0.809523809524,0.161904761905,22.0476190476,37.6476190476,4.0380952381,0.203476190476,3.3380952381,0.256226190476,3.50619047619,0.544904761905,3.47619047619,0.583154761905,2.6619047619,0.409476190476
40,219917,317579968296,21,0.761904761905,0.190476190476,18.4285714286,2.35714285714,3.59476190476,0.409296190476,3.07857142857,0.492392857143,3.82333333333,0.475783333333,3.77142857143,0.326142857143,3.01095238095,0.401819047619
41,217082,313517004042,21,0.761904761905,0.190476190476,18.0,3.8,3.72857142857,0.297642857143,2.83285714286,0.458181428571,3.42523809524,0.303076190476,3.43476190476,0.482226190476,2.89666666667,0.898733333333
42,375550,113091602051485,21,0.761904761905,0.190476190476,22.0,16.1,3.72380952381,0.214654761905,3.29047619048,0.293904761905,3.32619047619,0.503404761905,3.51142857143,0.359962857143,2.81666666667,0.338333333333
